,Feature,MI Score
373,Suburb_Officer South,0.0
374,Suburb_Ormond,0.002546753666447854
375,Suburb_Pakenham,0.0
376,Suburb_Parkdale,0.0056084866289611846
377,Suburb_Parkville,0.0
378,Suburb_Pascoe Vale,0.0
379,Suburb_Pascoe Vale South,0.0
380,Suburb_Patterson Lakes,0.0
381,Suburb_Point Cook,0.007610655004831823
382,Suburb_Point Lonsdale,0.0
383,Suburb_Port Melbourne,0.0
384,Suburb_Portland,0.005127398719005027
385,Suburb_Prahran,0.0
386,Suburb_Preston,0.0026375483154954527
387,Suburb_Princes Hill,0.009658583272652344
388,Suburb_Quarry Hill,0.0
389,Suburb_Queenscliff,0.0
390,Suburb_Redan,0.002305331986052872
391,Suburb_Reservoir,0.0
392,Suburb_Richmond,0.00031382739071839083
393,Suburb_Riddells Creek,0.0
394,Suburb_Ringwood,0.003564449007190218
395,Suburb_Ringwood East,0.0
396,Suburb_Rippleside,0.0
397,Suburb_Ripponlea,0.005513650174953311
398,Suburb_Rockbank,0.0
399,Suburb_Rosanna,0.003076548287843428
400,Suburb_Rowville,0.0
401,Suburb_Roxburgh Park,0.0
402,Suburb_Safety Beach,0.0
403,Suburb_Sale,0.0030620317832183996
404,Suburb_Sanctuary Lakes,0.0013545534882530852
405,Suburb_Sandhurst,0.0031085710030955838
406,Suburb_Sandringham,0.003690808189020345
407,Suburb_Scoresby,0.005686923958199586
408,Suburb_Seabrook,0.0029945985613855086
409,Suburb_Seaford,0.002241422801697368
410,Suburb_Seaholme,0.0030563275747355068
411,Suburb_Seaspray,0.001883998216995364
412,Suburb_Sebastopol,0.0005750985309791457
413,Suburb_Seddon,0.004269161732712856
414,Suburb_Seymour,0.0
415,Suburb_Shepparton,0.0
416,Suburb_Skye,0.005255912297843057
417,Suburb_Smythes Creek,0.0053397330857334335
418,Suburb_Soldiers Hill,0.004134375626645426
419,Suburb_South Geelong,0.0024696383976754444
420,Suburb_South Kingsville,0.007809784952798937
421,Suburb_South Melbourne,0.0
422,Suburb_South Morang,0.0
423,Suburb_South Yarra,0.00805901495446748
424,Suburb_Southbank,0.020913340612126685
425,Suburb_Spotswood,0.0
426,Suburb_Spring Gully,0.0
427,Suburb_Springvale,0.01033254859708399
428,Suburb_Springvale South,0.004147611778678728
429,Suburb_St Albans,0.00580216690205293
430,Suburb_St Albans Park,0.0
431,Suburb_St Helena,0.006209177231382146
432,Suburb_St Kilda,0.010113568316791444
433,Suburb_St Kilda East,0.001934887815778108
434,Suburb_St Kilda West,0.0
435,Suburb_Strathdale,0.005207047173783952
436,Suburb_Strathfieldsaye,0.012219367409208592
437,Suburb_Strathmore,0.0
438,Suburb_Strathmore Heights,0.004211147335192678
439,Suburb_Strathtulloh,0.001155105647596466
440,Suburb_Sunbury,0.005022235214425352
441,Suburb_Sunshine,0.0
442,Suburb_Sunshine North,0.0
443,Suburb_Sunshine West,0.0007415674305335518
444,Suburb_Surrey Hills,0.0037814317752358217
445,Suburb_Swan Hill,0.0024212753048145075
446,Suburb_Sydenham,0.0
447,Suburb_Tanjil South,0.0
448,Suburb_Tarneit,0.01554963799249065
449,Suburb_Taylors Hill,0.0
450,Suburb_Taylors Lakes,0.0
451,Suburb_Templestowe,0.0
452,Suburb_Templestowe Lower,0.005042655806406726
453,Suburb_The Basin,0.002613890248190698
454,Suburb_Thomastown,0.0010441718432014913
455,Suburb_Thomson,0.0043103774129156225
456,Suburb_Thornbury,0.0
457,Suburb_Thornhill Park,0.006023065494406232
458,Suburb_Toorak,0.0
459,Suburb_Torquay,0.005554526836926144
460,Suburb_Trafalgar,0.004704757275029836
461,Suburb_Trafalgar East,0.0030354151599687462
462,Suburb_Traralgon,0.0
463,Suburb_Travancore,0.016476702351808648
464,Suburb_Truganina,0.0034460519255463673
465,Suburb_Tullamarine,0.0007505662187672346
466,Suburb_Tyabb,0.0007018469828237173
467,Suburb_Upper Ferntree Gully,0.0
468,Suburb_Vermont,0.0
469,Suburb_Vermont South,0.00246792221340586
470,Suburb_Viewbank,0.0016752346525708006
471,Suburb_Wallan,0.0
472,Suburb_Wandana Heights,0.0
473,Suburb_Wantirna,0.0
474,Suburb_Wantirna South,0.013034162834371976
475,Suburb_Warragul,0.0
476,Suburb_Warrandyte,0.000754194340811587
477,Suburb_Warranwood,0.000865130562135441
478,Suburb_Warrnambool,0.0
479,Suburb_Watsonia,0.0
480,Suburb_Watsonia North,0.0
481,Suburb_Waurn Ponds,0.000128653665574463
482,Suburb_Weir Views,0.0
483,Suburb_Wendouree,0.008113510774686583
484,Suburb_Werribee,0.004372116405886306
485,Suburb_Werribee South,0.003916734217673357
486,Suburb_West Footscray,0.0
487,Suburb_West Melbourne,0.0119829415471977
488,Suburb_West Wodonga,0.0001837909174831065
489,Suburb_Westmeadows,0.0
490,Suburb_Wheelers Hill,0.009617257980980343
491,Suburb_White Hills,0.0
492,Suburb_Whittington,0.0
493,Suburb_Whittlesea,0.0013488272341011243
494,Suburb_Williamstown,0.008349450288025917
495,Suburb_Williamstown North,0.0
496,Suburb_Windsor,0.01745101731218246
497,Suburb_Winslow,0.0
498,Suburb_Wodonga,0.002468125304385227
499,Suburb_Wollert,0.003754031001788727
500,Suburb_Wyndham Vale,0.005915879873217067
501,Suburb_Yallambie,0.0
502,Suburb_Yarraville,0.00024608390235481004
503,Suburb_nan,0.0
504,Postcode_3002.0,0.0
505,Postcode_3003.0,0.004091371373666108
506,Postcode_3004.0,0.002635423910042567
507,Postcode_3006.0,0.016976995499186298
508,Postcode_3008.0,0.002825582646663216
509,Postcode_3011.0,0.002106745277761668
510,Postcode_3012.0,0.0
511,Postcode_3013.0,0.004974909470617961
512,Postcode_3015.0,0.0027845402267090424
513,Postcode_3016.0,0.0013553862354152013
514,Postcode_3018.0,0.0
515,Postcode_3019.0,0.0
516,Postcode_3020.0,0.004187104299765432
517,Postcode_3021.0,0.005676696672089365
518,Postcode_3022.0,0.0
519,Postcode_3023.0,0.004749580662336772
520,Postcode_3024.0,0.013900371329268912
521,Postcode_3025.0,0.0023194049831807284
522,Postcode_3026.0,0.0019857936390259567
